name,profile_url,followers,average_interactions,quote_cny,audience_tags,past_campaign_result,source_name,collected_at,is_mock,evidence_grade
模拟达人-素人11,https://example.com/mock-creator/0e76262a27b98af0/11,8484,907,1000.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约750元；演示CTR 4.9% / CPC 1.41元 / 互动率 7.3%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-素人12,https://example.com/mock-creator/0e76262a27b98af0/12,9891,421,400.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约200元；演示CTR 8.4% / CPC 0.86元 / 互动率 4.7%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-达人01,https://example.com/mock-creator/0e76262a27b98af0/13,262030,17699,3900.0,送礼|旅行攻略|伴手礼|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约2650元；演示CTR 3.9% / CPC 2.12元 / 互动率 7.3%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-达人02,https://example.com/mock-creator/0e76262a27b98af0/14,121220,7148,4600.0,送礼|旅行攻略|伴手礼|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约1550元；演示CTR 9.5% / CPC 2.33元 / 互动率 8.9%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-达人03,https://example.com/mock-creator/0e76262a27b98af0/15,37492,640,4500.0,送礼|旅行攻略|伴手礼|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约1950元；演示CTR 4.7% / CPC 1.97元 / 互动率 5.9%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-达人04,https://example.com/mock-creator/0e76262a27b98af0/16,166142,2640,7500.0,送礼|旅行攻略|伴手礼|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约5900元；演示CTR 5.0% / CPC 1.47元 / 互动率 4.4%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-达人05,https://example.com/mock-creator/0e76262a27b98af0/17,424898,28203,2700.0,送礼|旅行攻略|伴手礼|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约950元；演示CTR 9.0% / CPC 2.53元 / 互动率 10.0%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-达人06,https://example.com/mock-creator/0e76262a27b98af0/18,45672,1626,3400.0,送礼|旅行攻略|伴手礼|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约2300元；演示CTR 9.9% / CPC 1.08元 / 互动率 4.6%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-KOL01,https://example.com/mock-creator/0e76262a27b98af0/19,1353231,21103,27700.0,生活方式|礼赠场景|香港旅行|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约12150元；演示CTR 7.8% / CPC 1.26元 / 互动率 8.2%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-KOL02,https://example.com/mock-creator/0e76262a27b98af0/20,1241588,50405,38600.0,生活方式|礼赠场景|香港旅行|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约28150元；演示CTR 10.4% / CPC 1.15元 / 互动率 4.4%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
